HS|"id","nm"
PH|"18.05.30","Menggala Timur"
AI|"18.06.01","Kota Agung"
BI|"18.06.02","Talang Padang"
CI|"18.06.03","Wonosobo"
DI|"18.06.04","Pulau Panggung"
II|"18.06.09","Cukuh Balak"
HJ|"18.06.11","Pugung"
IJ|"18.06.12","Semaka"
JJ|"18.06.13","Sumberejo"
LJ|"18.06.15","Ulu Belu"
MJ|"18.06.16","Pematang Sawa"
NJ|"18.06.17","Kelumbayan"
OJ|"18.06.18","Kota Agung Barat"
PJ|"18.06.19","Kota Agung Timur"
NK|"18.06.20","Gisting"
OK|"18.06.21","Gunung Alip"
RK|"18.06.24","Limau"
SK|"18.06.25","Bandar Negeri Semuong"
TK|"18.06.26","Air Naningan"
UK|"18.06.27","Bulok"
VK|"18.06.28","Kelumbayan Barat"
FM|"18.07.01","Sukadana"
GM|"18.07.02","Labuhan Maringgai"
HM|"18.07.03","Jabung"
IM|"18.07.04","Pekalongan"
JM|"18.07.05","Sekampung"
KM|"18.07.06","Batanghari"
LM|"18.07.07","Way Jepara"
MM|"18.07.08","Purbolinggo"
NM|"18.07.09","Raman Utara"
LN|"18.07.10","Metro Kibang"
MN|"18.07.11","Marga Tiga"
NN|"18.07.12","Sekampung Udik"
ON|"18.07.13","Batanghari Nuban"
PN|"18.07.14","Bumi Agung"
QN|"18.07.15","Bandar Sribhawono"
RN|"18.07.16","Mataram Baru"
SN|"18.07.17","Melinting"
TN|"18.07.18","Gunung Pelindung"
UN|"18.07.19","Pasir Sakti"
SO|"18.07.20","Waway Karya"
TO|"18.07.21","Labuhan Ratu"
UO|"18.07.22","Braja Selebah"
VO|"18.07.23","Way Bungur"
WO|"18.07.24","Marga Sekampung"
KQ|"18.08.01","Blambangan Umpu"
LQ|"18.08.02","Kasui"
MQ|"18.08.03","Banjit"
NQ|"18.08.04","Baradatu"
OQ|"18.08.05","Bahuga"
PQ|"18.08.06","Pakuan Ratu"
QQ|"18.08.07","Negeri Agung"
RQ|"18.08.08","Way Tuba"
SQ|"18.08.09","Rebang Tangkas"
QR|"18.08.10","Gunung Labuhan"
RR|"18.08.11","Negara Batin"
SR|"18.08.12","Negeri Besar"
TR|"18.08.13","Buay Bahuga"
UR|"18.08.14","Bumi Agung"
VR|"18.08.15","Umpu Semenguk"
PU|"18.09.01","Gedong Tataan"
QU|"18.09.02","Negeri Katon"
RU|"18.09.03","Tegineneng"
SU|"18.09.04","Way Lima"
TU|"18.09.05","Padang Cermin"
UU|"18.09.06","Punduh Pidada"
VU|"18.09.07","Kedondong"
WU|"18.09.08","Marga Punduh"
XU|"18.09.09","Way Khilau"
VV|"18.09.10","Teluk Pandan"
WV|"18.09.11","Way Ratai"
FR|"18.10.01","Pringsewu"
GR|"18.10.02","Gading Rejo"
HR|"18.10.03","Ambarawa"
IR|"18.10.04","Pardasuka"
JR|"18.10.05","Pagelaran"
KR|"18.10.06","Banyumas"
LR|"18.10.07","Adiluwih"
MR|"18.10.08","Sukoharjo"
NR|"18.10.09","Pagelaran Utara"
KV|"18.11.01","Mesuji"
LV|"18.11.02","Mesuji Timur"
MV|"18.11.03","Rawa Jitu Utara"
NV|"18.11.04","Way Serdang"
OV|"18.11.05","Simpang Pematang"
PV|"18.11.06","Panca Jaya"
QV|"18.11.07","Tanjung Raya"
PZ|"18.12.01","Tulang Bawang Tengah"
QZ|"18.12.02","Tumijajar"
RZ|"18.12.03","Tulang Bawang Udik"
SZ|"18.12.04","Gunung Terang"
TZ|"18.12.05","Gunung Agung"
UZ|"18.12.06","Way Kenanga"
VZ|"18.12.07","Lambu Kibang"
WZ|"18.12.08","Pagar Dewa"
XZ|"18.12.09","Batu Putih"
UD|"18.13.01","Pesisir Tengah"
VD|"18.13.02","Pesisir Selatan"
WD|"18.13.03","Lemong"
XD|"18.13.04","Pesisir Utara"
YD|"18.13.05","Karya Penggawa"
ZD|"18.13.06","Pulau Pisang"
AE|"18.13.07","Way Krui"
BE|"18.13.08","Krui Selatan"
CE|"18.13.09","Ngambur"
AF|"18.13.10","Ngaras"
BF|"18.13.11","Bangkunat"
MT|"18.71.01","Kedaton"
NT|"18.71.02","Sukarame"
OT|"18.71.03","Tanjungkarang Barat"
PT|"18.71.04","Panjang"
QT|"18.71.05","Tanjungkarang Timur"
RT|"18.71.06","Tanjungkarang Pusat"
ST|"18.71.07","Telukbetung Selatan"
TT|"18.71.08","Telukbetung Barat"
UT|"18.71.09","Telukbetung Utara"
SU|"18.71.10","Rajabasa"
TU|"18.71.11","Tanjung Senang"
UU|"18.71.12","Sukabumi"
VU|"18.71.13","Kemiling"
WU|"18.71.14","Labuhan Ratu"
XU|"18.71.15","Way Halim"
YU|"18.71.16","Langkapura"
ZU|"18.71.17","Enggal"
AV|"18.71.18","Kedamaian"
BV|"18.71.19","Telukbetung Timur"
ZV|"18.71.20","Bumi Waras"
RX|"18.72.01","Metro Pusat"
SX|"18.72.02","Metro Utara"
TX|"18.72.03","Metro Barat"
UX|"18.72.04","Metro Timur"
VX|"18.72.05","Metro Selatan"
AC|"19.01.01","Sungailiat"
BC|"19.01.02","Belinyu"
CC|"19.01.03","Merawang"
DC|"19.01.04","Mendo Barat"
EC|"19.01.05","Pemali"
FC|"19.01.06","Bakam"
GC|"19.01.07","Riau Silip"
HC|"19.01.08","Puding Besar"
FG|"19.02.01","Tanjungpandan"
GG|"19.02.02","Membalong"
HG|"19.02.03","Selat Nasik"
IG|"19.02.04","Sijuk"
JG|"19.02.05","Badau"
KK|"19.03.01","Toboali"
LK|"19.03.02","Lepar"
MK|"19.03.03","Airgegas"
NK|"19.03.04","Simpang Rimba"
OK|"19.03.05","Payung"
PK|"19.03.06","Tukak Sadai"
QK|"19.03.07","Pulau Besar"
RK|"19.03.08","Kepulauan Pongok"
PO|"19.04.01","Koba"
QO|"19.04.02","Pangkalan Baru"
RO|"19.04.03","Sungai Selan"
SO|"19.04.04","Simpang Katis"
TO|"19.04.05","Namang"
UO|"19.04.06","Lubuk Besar"
US|"19.05.01","Mentok"
VS|"19.05.02","Simpang Teritip"
WS|"19.05.03","Jebus"
XS|"19.05.04","Kelapa"
YS|"19.05.05","Tempilang"
ZS|"19.05.06","Parittiga"
ZW|"19.06.01","Manggar"
AX|"19.06.02","Gantung"
BX|"19.06.03","Dendang"
CX|"19.06.04","Kelapa Kampit"
DX|"19.06.05","Damar"
EX|"19.06.06","Simpang Renggiang"
FX|"19.06.07","Simpang Pesak"
LI|"19.71.01","Bukit Intan"
MI|"19.71.02","Taman Sari"
NI|"19.71.03","Pangkal Balam"
OI|"19.71.04","Rangkui"
PI|"19.71.05","Gerunggang"
QI|"19.71.06","Gabek"
RI|"19.71.07","Girimaya"
KD|"21.01.04","Gunung Kijang"
MD|"21.01.06","Bintan Timur"
ND|"21.01.07","Bintan Utara"
OD|"21.01.08","Teluk Bintan"
PD|"21.01.09","Tambelan"
NE|"21.01.10","Teluk Sebong"
PE|"21.01.12","Toapaya"
QE|"21.01.13","Mantang"
RE|"21.01.14","Bintan Pesisir"
SE|"21.01.15","Seri Kuala Lobam"
MH|"21.02.01","Moro"
NH|"21.02.02","Kundur"
OH|"21.02.03","Karimun"
PH|"21.02.04","Meral"
QH|"21.02.05","Tebing"
RH|"21.02.06","Buru"
SH|"21.02.07","Kundur Utara"
TH|"21.02.08","Kundur Barat"
UH|"21.02.09","Durai"
SI|"21.02.10","Meral Barat"
TI|"21.02.11","Ungar"
UI|"21.02.12","Belat"
VI|"21.02.13","Selat Gelam"
WI|"21.02.14","Sugie Besar"
UL|"21.03.04","Midai"
VL|"21.03.05","Bunguran Barat"
WL|"21.03.06","Serasan"
XL|"21.03.07","Bunguran Timur"
YL|"21.03.08","Bunguran Utara"
ZL|"21.03.09","Subi"
XM|"21.03.10","Pulau Laut"
YM|"21.03.11","Pulau Tiga"
CN|"21.03.15","Bunguran Timur Laut"
DN|"21.03.16","Bunguran Tengah"
FN|"21.03.18","Bunguran Selatan"
GN|"21.03.19","Serasan Timur"
EO|"21.03.20","Bunguran Batubi"
FO|"21.03.21","Pulau Tiga Barat"
GO|"21.03.22","Suak Midai"
HO|"21.03.23","Pulau Panjang"
IO|"21.03.24","Pulau Seluan"
WP|"21.04.01","Singkep"
XP|"21.04.02","Lingga"
YP|"21.04.03","Senayang"
ZP|"21.04.04","Singkep Barat"
AQ|"21.04.05","Lingga Utara"
BQ|"21.04.06","Singkep Pesisir"
CQ|"21.04.07","Lingga Timur"
DQ|"21.04.08","Selayar"
EQ|"21.04.09","Singkep Selatan"
CR|"21.04.10","Kepulauan Posek"
DR|"21.04.11","Katang Bidare"
ER|"21.04.12","Temiang Pesisir"
FR|"21.04.13","Bakung Serumpun"
BU|"21.05.01","Siantan"
CU|"21.05.02","Palmatak"
DU|"21.05.03","Siantan Timur"
EU|"21.05.04","Siantan Selatan"
FU|"21.05.05","Jemaja Timur"
GU|"21.05.06","Jemaja"
HU|"21.05.07","Siantan Tengah"
IU|"21.05.08","Siantan Utara"
JU|"21.05.09","Jemaja Barat"
HV|"21.05.10","Kute Siantan"
SJ|"21.71.01","Belakang Padang"
TJ|"21.71.02","Batu Ampar"
UJ|"21.71.03","Sekupang"
VJ|"21.71.04","Nongsa"
WJ|"21.71.05","Bulang"
XJ|"21.71.06","Lubuk Baja"
YJ|"21.71.07","Sei Beduk"
ZJ|"21.71.08","Galang"
AK|"21.71.09","Bengkong"
YK|"21.71.10","Batam Kota"
ZK|"21.71.11","Sagulung"
AL|"21.71.12","Batu Aji"
XN|"21.72.01","Tanjung Pinang Barat"
YN|"21.72.02","Tanjung Pinang Timur"
ZN|"21.72.03","Tanjung Pinang Kota"
AO|"21.72.04","Bukit Bestari"
OY|"31.01.01","Kepulauan Seribu Utara"
PY|"31.01.02","Kepulauan Seribu Selatan"
ZE|"31.71.01","Gambir"
AF|"31.71.02","Sawah Besar"
BF|"31.71.03","Kemayoran"
CF|"31.71.04","Senen"
DF|"31.71.05","Cempaka Putih"
EF|"31.71.06","Menteng"
FF|"31.71.07","Tanah Abang"
GF|"31.71.08","Johar Baru"
EJ|"31.72.01","Penjaringan"
FJ|"31.72.02","Tanjung Priok"
GJ|"31.72.03","Koja"
HJ|"31.72.04","Cilincing"
IJ|"31.72.05","Pademangan"
JJ|"31.72.06","Kelapa Gading"
JN|"31.73.01","Cengkareng"
KN|"31.73.02","Grogol Petamburan"
LN|"31.73.03","Taman Sari"
MN|"31.73.04","Tambora"
NN|"31.73.05","Kebon Jeruk"
ON|"31.73.06","Kalideres"
PN|"31.73.07","Pal Merah"
QN|"31.73.08","Kembangan"
OR|"31.74.01","Tebet"
PR|"31.74.02","Setiabudi"
QR|"31.74.03","Mampang Prapatan"
RR|"31.74.04","Pasar Minggu"
SR|"31.74.05","Kebayoran Lama"
TR|"31.74.06","Cilandak"
UR|"31.74.07","Kebayoran Baru"
VR|"31.74.08","Pancoran"
WR|"31.74.09","Jagakarsa"
US|"31.74.10","Pesanggrahan"
TV|"31.75.01","Matraman"
UV|"31.75.02","Pulogadung"
VV|"31.75.03","Jatinegara"
WV|"31.75.04","Kramatjati"
XV|"31.75.05","Pasar Rebo"
YV|"31.75.06","Cakung"
ZV|"31.75.07","Duren Sawit"
AW|"31.75.08","Makasar"
BW|"31.75.09","Ciracas"
ZW|"31.75.10","Cipayung"
NN|"32.01.01","Cibinong"
ON|"32.01.02","Gunungputri"
PN|"32.01.03","Citeureup"
QN|"32.01.04","Sukaraja"
RN|"32.01.05","Babakan Madang"
SN|"32.01.06","Jonggol"
TN|"32.01.07","Cileungsi"
UN|"32.01.08","Cariu"
VN|"32.01.09","Sukamakmur"
TO|"32.01.10","Parung"
UO|"32.01.11","Gunungsindur"
VO|"32.01.12","Kemang"
WO|"32.01.13","Bojonggede"
XO|"32.01.14","Leuwiliang"
YO|"32.01.15","Ciampea"
ZO|"32.01.16","Cibungbulang"
AP|"32.01.17","Pamijahan"
BP|"32.01.18","Rumpin"
CP|"32.01.19","Jasinga"
AQ|"32.01.20","Parungpanjang"
BQ|"32.01.21","Nanggung"
CQ|"32.01.22","Cigudeg"
DQ|"32.01.23","Tenjo"
EQ|"32.01.24","Ciawi"
FQ|"32.01.25","Cisarua"
GQ|"32.01.26","Megamendung"
HQ|"32.01.27","Caringin"
IQ|"32.01.28","Cijeruk"
JQ|"32.01.29","Ciomas"
HR|"32.01.30","Dramaga"
IR|"32.01.31","Tamansari"
JR|"32.01.32","Klapanunggal"
KR|"32.01.33","Ciseeng"
LR|"32.01.34","Rancabungur"
MR|"32.01.35","Sukajaya"
NR|"32.01.36","Tanjungsari"
OR|"32.01.37","Tajurhalang"
PR|"32.01.38","Cigombong"
QR|"32.01.39","Leuwisadeng"
OS|"32.01.40","Tenjolaya"
SR|"32.02.01","Palabuhanratu"
TR|"32.02.02","Simpenan"
UR|"32.02.03","Cikakak"
VR|"32.02.04","Bantargadung"
WR|"32.02.05","Cisolok"
XR|"32.02.06","Cikidang"
YR|"32.02.07","Lengkong"
ZR|"32.02.08","Jampangtengah"
AS|"32.02.09","Warungkiara"
YS|"32.02.10","Cikembar"
ZS|"32.02.11","Cibadak"
AT|"32.02.12","Nagrak"
BT|"32.02.13","Parungkuda"
CT|"32.02.14","Bojonggenteng"
DT|"32.02.15","Parakansalak"
ET|"32.02.16","Cicurug"
FT|"32.02.17","Cidahu"
GT|"32.02.18","Kalapanunggal"
HT|"32.02.19","Kabandungan"
FU|"32.02.20","Waluran"
GU|"32.02.21","Jampangkulon"
HU|"32.02.22","Ciemas"
IU|"32.02.23","Kalibunder"
JU|"32.02.24","Surade"
KU|"32.02.25","Cibitung"
LU|"32.02.26","Ciracap"
MU|"32.02.27","Gunungguruh"
NU|"32.02.28","Cicantayan"
OU|"32.02.29","Cisaat"
MV|"32.02.30","Kadudampit"
NV|"32.02.31","Caringin"
OV|"32.02.32","Sukabumi"
PV|"32.02.33","Sukaraja"
QV|"32.02.34","Kebonpedes"
RV|"32.02.35","Cireunghas"
SV|"32.02.36","Sukalarang"
TV|"32.02.37","Pabuaran"
UV|"32.02.38","Purabaya"
VV|"32.02.39","Nyalindung"
TW|"32.02.40","Gegerbitung"
UW|"32.02.41","Sagaranten"
VW|"32.02.42","Curugkembar"
WW|"32.02.43","Cidolog"
XW|"32.02.44","Cidadap"
YW|"32.02.45","Tegalbuleud"
ZW|"32.02.46","Cimanggu"
AX|"32.02.47","Ciambar"
XV|"32.03.01","Cianjur"
YV|"32.03.02","Warungkondang"
ZV|"32.03.03","Cibeber"
AW|"32.03.04","Cilaku"
BW|"32.03.05","Ciranjang"
CW|"32.03.06","Bonjogpicung"
DW|"32.03.07","Karangtengah"
EW|"32.03.08","Mande"
FW|"32.03.09","Sukaluyu"
DX|"32.03.10","Pacet"
EX|"32.03.11","Cugenang"
FX|"32.03.12","Cikalongkulon"
GX|"32.03.13","Sukaresmi"
HX|"32.03.14","Sukanagara"
IX|"32.03.15","Campaka"
JX|"32.03.16","Takokak"
KX|"32.03.17","Kadupandak"
LX|"32.03.18","Pagelarang"
MX|"32.03.19","Tanggeung"
KY|"32.03.20","Cubinong"
LY|"32.03.21","Sindangbarang"
MY|"32.03.22","Agrabinta"
NY|"32.03.23","Cidaun"
OY|"32.03.24","Naringgul"
PY|"32.03.25","Campakamulya"
QY|"32.03.26","Cikadu"
RY|"32.03.27","Gekbrong"
SY|"32.03.28","Cipanas"
TY|"32.03.29","Cijati"
RZ|"32.03.30","Leles"
SZ|"32.03.31","Haurwangi"
TZ|"32.03.32","Pasirkuda"
GA|"32.04.05","Cileunyi"
HA|"32.04.06","Cimenyan"
IA|"32.04.07","Cilengkrang"
JA|"32.04.08","Bojongsoang"
KA|"32.04.09","Margahayu"
IB|"32.04.10","Margaasih"
JB|"32.04.11","Katapang"
KB|"32.04.12","Dayeuhkolot"
LB|"32.04.13","Banjaran"
MB|"32.04.14","Pameungpeuk"
NB|"32.04.15","Pangalengan"
OB|"32.04.16","Arjasari"
PB|"32.04.17","Cimaung"
UC|"32.04.25","Cicalengka"
VC|"32.04.26","Nagreg"
WC|"32.04.27","Cikancung"
XC|"32.04.28","Rancaekek"
YC|"32.04.29","Ciparay"
WD|"32.04.30","Pacet"
XD|"32.04.31","Kertasari"
YD|"32.04.32","Baleendah"
ZD|"32.04.33","Majalaya"
AE|"32.04.34","Solokanjeruk"
BE|"32.04.35","Paseh"
CE|"32.04.36","Ibun"
DE|"32.04.37","Soreang"
EE|"32.04.38","Pasirjambu"
FE|"32.04.39","Ciwidey"
DF|"32.04.40","Rancabali"
HF|"32.04.44","Cangkuang"
JF|"32.04.46","Kutawaringin"
HE|"32.05.01","Garut Kota"
IE|"32.05.02","Karangpawitan"
JE|"32.05.03","Wanaraja"
KE|"32.05.04","Tarogong Kaler"
LE|"32.05.05","Tarogong Kidul"
ME|"32.05.06","Banyuresmi"
NE|"32.05.07","Samarang"
OE|"32.05.08","Pasirwangi"
PE|"32.05.09","Leles"
NF|"32.05.10","Kadungora"
OF|"32.05.11","Leuwigoong"
PF|"32.05.12","Cibatu"
QF|"32.05.13","Kersamanah"
RF|"32.05.14","Malangbong"
SF|"32.05.15","Sukawening"
TF|"32.05.16","Karangtengah"
UF|"32.05.17","Bayongbong"
VF|"32.05.18","Cigedug"
WF|"32.05.19","Cilawu"
UG|"32.05.20","Cisurupan"
VG|"32.05.21","Sukaresmi"
WG|"32.05.22","Cikajang"
XG|"32.05.23","Banjarwangi"
YG|"32.05.24","Singajaya"
ZG|"32.05.25","Cihurip"
AH|"32.05.26","Peundeuy"
BH|"32.05.27","Pameungpeuk"
CH|"32.05.28","Cisompet"
DH|"32.05.29","Cibalong"
BI|"32.05.30","Cikelet"
CI|"32.05.31","Bungbulang"
DI|"32.05.32","Mekarmukti"
EI|"32.05.33","Pakenjeng"
FI|"32.05.34","Pamulihan"
GI|"32.05.35","Cisewu"
HI|"32.05.36","Caringin"
II|"32.05.37","Talegong"
JI|"32.05.38","Limbangan"
KI|"32.05.39","Selaawi"
IJ|"32.05.40","Cibiuk"
JJ|"32.05.41","Pangatikan"
KJ|"32.05.42","Sucinaraja"
MI|"32.06.01","Cipatujah"
NI|"32.06.02","Karangnunggal"
OI|"32.06.03","Cikalong"
PI|"32.06.04","Pancatengah"
QI|"32.06.05","Cikatomas"
RI|"32.06.06","Cibalong"
SI|"32.06.07","Parungponteng"
TI|"32.06.08","Bantarkalong"
UI|"32.06.09","Bojongasih"
SJ|"32.06.10","Culamega"
TJ|"32.06.11","Bojonggambir"
UJ|"32.06.12","Sodonghilir"
VJ|"32.06.13","Taraju"
WJ|"32.06.14","Salawu"
XJ|"32.06.15","Puspahiang"
YJ|"32.06.16","Tanjungjaya"
ZJ|"32.06.17","Sukaraja"
AK|"32.06.18","Salopa"
BK|"32.06.19","Jatiwaras"
ZK|"32.06.20","Cineam"
AL|"32.06.21","Karang Jaya"
BL|"32.06.22","Manonjaya"
CL|"32.06.23","Gunung Tanjung"
DL|"32.06.24","Singaparna"
EL|"32.06.25","Mangunreja"
FL|"32.06.26","Sukarame"
GL|"32.06.27","Cigalontang"
HL|"32.06.28","Leuwisari"
IL|"32.06.29","Padakembang"
GM|"32.06.30","Sariwangi"
HM|"32.06.31","Sukaratu"
IM|"32.06.32","Cisayong"
JM|"32.06.33","Sukahening"
KM|"32.06.34","Rajapolah"
LM|"32.06.35","Jamanis"
MM|"32.06.36","Ciawi"
NM|"32.06.37","Kadipaten"
OM|"32.06.38","Pagerageung"
PM|"32.06.39","Sukaresik"
RM|"32.07.01","Ciamis"
SM|"32.07.02","Cikoneng"
TM|"32.07.03","Cijeungjing"
UM|"32.07.04","Sadananya"
VM|"32.07.05","Cidolog"
WM|"32.07.06","Cihaurbeuti"
XM|"32.07.07","Panumbangan"
YM|"32.07.08","Panjalu"
ZM|"32.07.09","Kawali"
XN|"32.07.10","Panawangan"
YN|"32.07.11","Cipaku"
ZN|"32.07.12","Jatinagara"
AO|"32.07.13","Rajadesa"
BO|"32.07.14","Sukadana"
CO|"32.07.15","Rancah"
DO|"32.07.16","Tambaksari"
EO|"32.07.17","Lakbok"
FO|"32.07.18","Banjarsari"
GO|"32.07.19","Pamarican"
NP|"32.07.29","Cimaragas"
LQ|"32.07.30","Cisaga"
MQ|"32.07.31","Sindangkasih"
NQ|"32.07.32","Baregbeg"
OQ|"32.07.33","Sukamantri"
PQ|"32.07.34","Lumbung"
QQ|"32.07.35","Purwadadi"
SQ|"32.07.37","Banjaranyar"
WQ|"32.08.01","Kadugede"
XQ|"32.08.02","Ciniru"
YQ|"32.08.03","Subang"
ZQ|"32.08.04","Ciwaru"
AR|"32.08.05","Cibingbin"
BR|"32.08.06","Luragung"
CR|"32.08.07","Lebakwangi"
DR|"32.08.08","Garawangi"
ER|"32.08.09","Kuningan"
CS|"32.08.10","Ciawigebang"
DS|"32.08.11","Cidahu"
ES|"32.08.12","Jalaksana"
FS|"32.08.13","Cilimus"
GS|"32.08.14","Mandirancan"
HS|"32.08.15","Selajambe"
IS|"32.08.16","Kramatmulya"
JS|"32.08.17","Darma"
KS|"32.08.18","Cigugur"
LS|"32.08.19","Pasawahan"
JT|"32.08.20","Nusaherang"
KT|"32.08.21","Cipicung"
LT|"32.08.22","Pancalang"
MT|"32.08.23","Japara"
NT|"32.08.24","Cimahi"
OT|"32.08.25","Cilebak"
PT|"32.08.26","Hantara"
QT|"32.08.27","Kalimanggis"
RT|"32.08.28","Cibeureum"
ST|"32.08.29","Karangkancana"
QU|"32.08.30","Maleber"
RU|"32.08.31","Sindangagung"
SU|"32.08.32","Cigandamekar"
BV|"32.09.01","Waled"
CV|"32.09.02","Ciledug"
DV|"32.09.03","Losari"
EV|"32.09.04","Pabedilan"
FV|"32.09.05","Babakan"
GV|"32.09.06","Karangsembung"
HV|"32.09.07","Lemahabang"
IV|"32.09.08","Susukan Lebak"
JV|"32.09.09","Sedong"
HW|"32.09.10","Astanajapura"
IW|"32.09.11","Pangenan"
JW|"32.09.12","Mundu"
KW|"32.09.13","Beber"
LW|"32.09.14","Talun"
MW|"32.09.15","Sumber"
NW|"32.09.16","Dukupuntang"
OW|"32.09.17","Palimanan"
PW|"32.09.18","Plumbon"
QW|"32.09.19","Weru"
OX|"32.09.20","Kedawung"
PX|"32.09.21","Gunung Jati"
QX|"32.09.22","Kepetakan"
RX|"32.09.23","Klangenan"
SX|"32.09.24","Arjawinangun"
TX|"32.09.25","Panguragan"
UX|"32.09.26","Ciwaringin"
VX|"32.09.27","Susukan"
WX|"32.09.28","Gegesik"
XX|"32.09.29","Kaliwedi"
VY|"32.09.30","Gebang"
WY|"32.09.31","Depok"
XY|"32.09.32","Pasaleman"
YY|"32.09.33","Pabuaran"
ZY|"32.09.34","Karangwareng"
AZ|"32.09.35","Tengah Tani"
BZ|"32.09.36","Plered"
CZ|"32.09.37","Gempol"
DZ|"32.09.38","Greged"
EZ|"32.09.39","Suranenggala"
CA|"32.09.40","Jamblang"
RR|"32.10.01","Lemahsugih"
SR|"32.10.02","Bantarujeg"
TR|"32.10.03","Cikijing"
UR|"32.10.04","Talaga"
VR|"32.10.05","Argapura"
WR|"32.10.06","Maja"
XR|"32.10.07","Majalengka"
YR|"32.10.08","Sukahaji"
ZR|"32.10.09","Rajagaluh"
XS|"32.10.10","Leuwimunding"
YS|"32.10.11","Jatiwangi"
ZS|"32.10.12","Dawuan"
AT|"32.10.13","Kadipaten"
BT|"32.10.14","Kertajati"
CT|"32.10.15","Jatitujuh"
DT|"32.10.16","Ligung"
ET|"32.10.17","Sumberjaya"
FT|"32.10.18","Panyingkiran"
GT|"32.10.19","Palasah"
EU|"32.10.20","Cigasong"
FU|"32.10.21","Sindangwangi"
GU|"32.10.22","Banjaran"
HU|"32.10.23","Cingambul"
IU|"32.10.24","Kasokandel"
JU|"32.10.25","Sindang"
KU|"32.10.26","Malausma"
WV|"32.11.01","Wado"
XV|"32.11.02","Jatinunggal"
YV|"32.11.03","Darmaraja"
ZV|"32.11.04","Cibugel"
AW|"32.11.05","Cisitu"
BW|"32.11.06","Situraja"
CW|"32.11.07","Conggeang"
DW|"32.11.08","Paseh"
EW|"32.11.09","Surian"
CX|"32.11.10","Buahdua"
DX|"32.11.11","Tanjungsari"
EX|"32.11.12","Sukasari"
FX|"32.11.13","Pamulihan"
GX|"32.11.14","Cimanggung"
HX|"32.11.15","Jatinangor"
IX|"32.11.16","Rancakalong"
JX|"32.11.17","Sumedang Selatan"
KX|"32.11.18","Sumedang Utara"
LX|"32.11.19","Ganeas"
JY|"32.11.20","Tanjungkerta"
KY|"32.11.21","Tanjungmedar"
LY|"32.11.22","Cimalaka"
MY|"32.11.23","Cisarua"
NY|"32.11.24","Tomo"
OY|"32.11.25","Ujungjaya"
PY|"32.11.26","Jatigede"
BA|"32.12.01","Haurgeulis"
CA|"32.12.02","Kroya"
DA|"32.12.03","Gabuswetan"
EA|"32.12.04","Cikedung"
FA|"32.12.05","Lelea"
GA|"32.12.06","Bangodua"
HA|"32.12.07","Widasari"
IA|"32.12.08","Kertasemaya"
JA|"32.12.09","Krangkeng"
HB|"32.12.10","Karangampel"
IB|"32.12.11","Juntinyuat"
JB|"32.12.12","Sliyeg"
KB|"32.12.13","Jatibarang"
LB|"32.12.14","Balongan"
MB|"32.12.15","Indramayu"
NB|"32.12.16","Sindang"
OB|"32.12.17","Cantigi"
PB|"32.12.18","Lohbener"
QB|"32.12.19","Arahan"
OC|"32.12.20","Losarang"
PC|"32.12.21","Kandanghaur"
QC|"32.12.22","Bongas"
RC|"32.12.23","Anjatan"
SC|"32.12.24","Sukra"
TC|"32.12.25","Gantar"
UC|"32.12.26","Terisi"
VC|"32.12.27","Sukagumiwang"
WC|"32.12.28","Kedokan Bunder"
XC|"32.12.29","Pasekan"
VD|"32.12.30","Tukdana"
WD|"32.12.31","Patrol"
GE|"32.13.01","Sagalaherang"
HE|"32.13.02","Cisalak"
IE|"32.13.03","Subang"
JE|"32.13.04","Kalijati"
KE|"32.13.05","Pabuaran"
LE|"32.13.06","Purwadadi"
ME|"32.13.07","Pagaden"
NE|"32.13.08","Binong"
OE|"32.13.09","Ciasem"
MF|"32.13.10","Pusakanagara"
NF|"32.13.11","Pamanukan"
OF|"32.13.12","Jalancagak"
PF|"32.13.13","Blanakan"
QF|"32.13.14","Tanjungsiang"
RF|"32.13.15","Compreng"
SF|"32.13.16","Patokbeusi"
TF|"32.13.17","Cibogo"
UF|"32.13.18","Cipunagara"
VF|"32.13.19","Cijambe"
TG|"32.13.20","Cipeundeuy"
UG|"32.13.21","Legonkulon"
VG|"32.13.22","Cikaum"
WG|"32.13.23","Serangpanjang"
XG|"32.13.24","Sukasari"
YG|"32.13.25","Tambakdahan"
ZG|"32.13.26","Kasomalang"
AH|"32.13.27","Dawuan"
BH|"32.13.28","Pagaden Barat"
CH|"32.13.29","Ciater"
AI|"32.13.30","Pusakajaya"
LI|"32.14.01","Purwakarta"
MI|"32.14.02","Campaka"
NI|"32.14.03","Jatiluhur"
OI|"32.14.04","Plered"
PI|"32.14.05","Sukatani"
QI|"32.14.06","Darangdan"
RI|"32.14.07","Maniis"
SI|"32.14.08","Tegalwaru"
TI|"32.14.09","Wanayasa"
RJ|"32.14.10","Pasawahan"
SJ|"32.14.11","Bojong"
TJ|"32.14.12","Babakancikao"
UJ|"32.14.13","Bungursari"
VJ|"32.14.14","Cibatu"
WJ|"32.14.15","Sukasari"
XJ|"32.14.16","Pondoksalam"
YJ|"32.14.17","Kiarapedes"
QM|"32.15.01","Karawang Barat"
RM|"32.15.02","Pangkalan"
SM|"32.15.03","Telukjambe Timur"
TM|"32.15.04","Ciampel"
UM|"32.15.05","Klari"
VM|"32.15.06","Rengasdengklok"
WM|"32.15.07","Kutawaluya"
XM|"32.15.08","Batujaya"
