HS|"id","nm"
JM|"11.10.06","Gunung Meriah"
MM|"11.10.09","Kota Baharu"
KN|"11.10.10","Singkil Utara"
LN|"11.10.11","Danau Paris"
MN|"11.10.12","Suro Makmur"
NN|"11.10.13","Singkohor"
ON|"11.10.14","Kuala Baru"
QN|"11.10.16","Pulau Banyak Barat"
JQ|"11.11.01","Samalanga"
KQ|"11.11.02","Jeunieb"
LQ|"11.11.03","Peudada"
MQ|"11.11.04","Jeumpa"
NQ|"11.11.05","Peusangan"
OQ|"11.11.06","Makmur"
PQ|"11.11.07","Gandapura"
QQ|"11.11.08","Pandrah"
RQ|"11.11.09","Juli"
PR|"11.11.10","Jangka"
QR|"11.11.11","Simpang Mamplam"
RR|"11.11.12","Peulimbang"
SR|"11.11.13","Kota Juang"
TR|"11.11.14","Kuala"
UR|"11.11.15","Peusangan Siblah Krueng"
VR|"11.11.16","Peusangan Selatan"
WR|"11.11.17","Kuta Blang"
OU|"11.12.01","Blangpidie"
PU|"11.12.02","Tangan-Tangan"
QU|"11.12.03","Manggeng"
RU|"11.12.04","Susoh"
SU|"11.12.05","Kuala Batee"
TU|"11.12.06","Babah Rot"
UU|"11.12.07","Setia"
VU|"11.12.08","Jeumpa"
WU|"11.12.09","Lembah Sabil"
TY|"11.13.01","Blangkejeren"
UY|"11.13.02","Kutapanjang"
VY|"11.13.03","Rikit Gaib"
WY|"11.13.04","Terangun"
XY|"11.13.05","Pining"
YY|"11.13.06","Blangpegayon"
ZY|"11.13.07","Puteri Betung"
AZ|"11.13.08","Dabun Gelang"
BZ|"11.13.09","Blangjerango"
ZZ|"11.13.10","Teripe Jaya"
AA|"11.13.11","Pantan Cuaca"
YC|"11.14.01","Teunom"
ZC|"11.14.02","Krueng Sabee"
AD|"11.14.03","Setia Bakti"
BD|"11.14.04","Sampoi Niet"
CD|"11.14.05","Jaya"
DD|"11.14.06","Panga"
ED|"11.14.07","Indra Jaya"
FD|"11.14.08","Darul Hikmah"
GD|"11.14.09","Pasie Raya"
DH|"11.15.01","Kuala"
EH|"11.15.02","Seunagan"
